# cmip6: regional means at warming levels for individual models - Rx5day
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: Rx5day
# variable: pr
# units: %
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
111,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,day,gn,pr,4.14,6.11,,
112,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,day,gn,pr,4.05,5.67,12.04,
113,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,day,gn,pr,4.62,6.66,11.16,17.35
114,-4,global,Global,NESM3,r1i1p1f1,ssp126,day,gn,pr,3.8,6.63,,
115,-4,global,Global,NESM3,r1i1p1f1,ssp245,day,gn,pr,3.92,5.98,,
116,-4,global,Global,NESM3,r1i1p1f1,ssp585,day,gn,pr,3.75,5.63,9.19,12.79
117,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp245,day,gn,pr,4.04,6.34,,
118,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp370,day,gn,pr,3.51,4.6,,
119,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp585,day,gn,pr,3.87,6.09,10.12,
120,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,day,gn,pr,4.06,6.85,,
121,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,day,gn,pr,4.15,5.89,9.93,
122,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,day,gn,pr,4.72,6.69,10.74,
123,-4,global,Global,TaiESM1,r1i1p1f1,ssp585,day,gn,pr,5.28,9.05,16.03,23.72
124,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,day,gn,pr,6.56,9.35,,
125,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,day,gn,pr,6.27,9.46,,
126,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,day,gn,pr,6.19,8.47,14.09,19.34
127,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,day,gn,pr,6.2,8.55,13.51,19.04
128,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,day,gn,pr,6.58,8.4,13.14,19.99
129,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,7.14,9.76,,
130,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,6.44,9.44,13.85,
131,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,6.65,8.7,13.2,19.46
132,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,6.24,8.59,14.4,19.97
133,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,5.86,6.64,,
134,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,3.91,6.41,,
135,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,5.08,6.99,11.06,
136,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,4.97,6.97,10.67,15.25
137,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,6.61,,,
138,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,6.89,8.18,,
139,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,6.34,8.24,11.52,
140,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,5.47,8.01,10.88,
141,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp126,day,gn,pr,8.1,11.31,,
142,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp245,day,gn,pr,5.86,10.43,19.73,
143,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp370,day,gn,pr,6.35,9.73,16.55,24.08
144,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp585,day,gn,pr,6.64,9.46,17.57,25.95
145,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,6.7,10.34,,
146,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,7.1,10.64,16.93,
147,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,5.9,7.86,16.12,23.36
148,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,6.29,9.34,15.17,23.98
149,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,6.57,8.08,,
150,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,5.85,8.12,13.5,
151,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,pr,6.31,8.57,11.43,20.76
152,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,pr,5.63,7.6,12.26,19.37
153,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,pr,3.04,3.26,,
154,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,pr,2.87,3.5,5.84,
155,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,pr,3.47,3.95,5.5,6.95
156,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,pr,3.01,4.09,5.74,7.36
157,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,pr,2.25,3.4,,
158,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,pr,1.7,2.81,4.34,6.27
159,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,pr,3.49,,,
160,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,pr,2.98,,,
161,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,pr,2.95,4.44,4.91,
162,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,pr,2.48,3.18,5.58,6.04
163,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,pr,2.82,4.25,4.93,7.04
164,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,day,gn,pr,6.6,7.3,,
165,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,day,gn,pr,5.95,7.86,,
166,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,day,gn,pr,5.95,7.66,11.06,15.49
167,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,day,gn,pr,6.52,7.49,11.37,15.19
168,-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,day,gn,pr,6.28,6.71,11.34,14.97
169,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,day,gr,pr,4.63,6.86,,
170,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,day,gr,pr,5.84,6.62,12.33,
171,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,day,gr,pr,5.34,6.73,11.01,18.03
172,-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,day,gr,pr,5.16,6.84,11.73,17.81
173,-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,pr,6.8,10.11,14.44,20.25
174,-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp245,day,gr,pr,5.03,6.83,10.9,
175,-3,ocean,Ocean,EC-Earth3-CC,r1i1p1f1,ssp585,day,gr,pr,4.93,6.02,10.87,16.15
176,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,pr,3.58,6.1,,
177,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,pr,3.48,5.99,,
178,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,pr,4.09,6.3,10.05,
179,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,pr,3.97,7.0,10.01,14.3
180,-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,pr,3.81,5.41,10.73,15.84
181,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,pr,5.66,,,
182,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,pr,5.11,,,
183,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,pr,5.62,7.64,11.87,
184,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,5.11,7.41,12.04,15.95
185,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,5.4,7.07,11.65,16.74
186,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,4.51,5.51,,
187,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,4.13,5.14,7.83,
188,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,4.36,4.87,7.57,
189,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,pr,5.29,7.06,,
190,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,pr,5.56,7.32,10.86,13.96
191,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,pr,5.29,6.74,,
192,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,pr,4.77,4.99,9.41,
193,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,pr,4.48,6.67,9.67,
194,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,pr,6.67,9.71,,
195,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,pr,6.46,8.74,13.78,
196,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,pr,6.16,8.8,14.44,18.77
197,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,pr,5.91,8.53,,
198,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,pr,5.57,7.91,12.36,17.1
199,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp126,day,gn,pr,3.54,,,
200,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp245,day,gn,pr,4.11,4.78,,
201,-3,ocean,Ocean,IITM-ESM,r1i1p1f1,ssp585,day,gn,pr,3.5,5.69,7.66,
202,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,pr,3.2,,,
203,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,pr,3.07,3.08,,
204,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,pr,3.13,3.28,5.22,
205,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,pr,3.56,3.61,5.41,
206,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,pr,3.53,,,
207,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,pr,3.96,4.57,,
208,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,pr,4.15,4.65,8.68,
209,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,pr,2.89,5.36,8.25,
210,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,pr,8.03,8.86,,
211,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,pr,7.15,9.52,,
212,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,pr,7.5,9.77,14.6,
213,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,pr,7.85,9.5,14.68,20.7
214,-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,pr,7.03,9.45,14.36,18.65
215,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,pr,4.79,7.49,,
216,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,pr,4.83,6.74,11.45,
217,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,pr,4.65,6.6,11.69,16.98
218,-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,pr,4.93,6.98,11.73,18.12
219,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,pr,6.78,,,
220,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,pr,6.93,10.05,,
221,-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp585,day,gr1,pr,7.22,10.37,15.07,
222,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,pr,3.44,,,
223,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,pr,3.19,4.01,,
224,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,pr,2.61,2.74,3.56,
225,-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,pr,3.41,2.37,3.98,
226,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp126,day,gn,pr,2.5,,,
227,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp245,day,gn,pr,2.36,3.49,,
228,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp370,day,gn,pr,2.17,2.85,,
229,-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp585,day,gn,pr,1.91,3.42,5.32,
230,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,pr,1.99,,,
231,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,pr,2.12,3.39,,
232,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,pr,2.6,3.22,5.36,
233,-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,pr,2.85,3.98,6.12,
234,-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,pr,2.79,,,
235,-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,pr,3.17,4.0,,
236,-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,pr,3.31,4.85,5.87,
237,-3,ocean,Ocean,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,pr,2.64,3.87,6.02,
