# cmip6: regional means at warming levels for individual models - SM_total
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_total
# variable: mrso
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,Lmon,gn,mrso,2.6,3.15,,
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,Lmon,gn,mrso,2.91,3.48,4.02,
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,Lmon,gn,mrso,2.66,3.27,4.58,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,Lmon,gr1,mrso,-9.47,-9.19,,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,Lmon,gr1,mrso,-7.73,-8.68,-11.15,-10.22
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,Lmon,gr1,mrso,6.58,7.7,,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,Lmon,gr1,mrso,5.82,5.92,6.22,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,Lmon,gr1,mrso,6.88,5.62,4.63,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,Lmon,gn,mrso,-3.1,-4.18,,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,Lmon,gn,mrso,-3.34,-4.0,-7.09,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,Lmon,gn,mrso,-3.43,-4.33,-4.98,-6.42
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,Lmon,gn,mrso,-3.16,-5.16,,
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,Lmon,gn,mrso,-3.55,-4.33,-5.18,-5.53
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,Lmon,gr1,mrso,3.52,,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,Lmon,gr1,mrso,3.14,6.08,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,Lmon,gr1,mrso,4.68,6.52,8.42,
