# cmip6: regional means at warming levels for individual models - TNn
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TNn
# variable: tasmin
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,tasmin,1.87,2.38,3.38,4.55
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,tasmin,1.87,2.42,3.39,4.48
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,tasmin,1.73,,,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,tasmin,1.75,,,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,tasmin,1.72,2.21,3.35,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,tasmin,1.77,2.33,3.32,4.37
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,tasmin,1.68,2.21,3.27,4.38
-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp245,day,gn,tasmin,1.67,2.16,,
-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp370,day,gn,tasmin,1.65,2.14,3.2,
-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp585,day,gn,tasmin,1.64,2.2,3.28,
-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,tasmin,1.7,2.21,,
-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,tasmin,1.67,2.19,3.29,4.41
-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,tasmin,1.57,2.1,,
-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,tasmin,1.61,2.1,3.2,
-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,tasmin,1.61,2.07,3.18,
-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,tasmin,1.93,2.4,,
-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,tasmin,1.93,2.45,3.52,
-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,tasmin,1.94,2.44,3.5,4.65
-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,tasmin,1.76,2.35,,
-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,tasmin,1.75,2.38,3.64,4.77
-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,tasmin,1.72,,,
-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,tasmin,1.74,2.28,,
-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,tasmin,1.75,2.27,3.43,
-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,tasmin,1.71,2.26,3.39,
-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,tasmin,1.69,,,
-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,tasmin,1.66,2.27,,
-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,tasmin,1.73,2.24,3.41,
-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,tasmin,1.66,2.23,3.39,
-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,tasmin,1.68,2.2,,
-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,tasmin,1.68,2.19,,
-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,tasmin,1.7,2.23,3.26,
-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,tasmin,1.66,2.21,3.25,4.25
-3,ocean,Ocean,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,tasmin,1.67,2.2,3.28,4.33
-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,tasmin,1.9,2.47,,
-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,tasmin,1.89,2.46,3.53,
-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,tasmin,1.87,2.45,3.53,4.57
-3,ocean,Ocean,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,tasmin,1.89,2.48,3.54,4.59
-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,tasmin,1.48,,,
-3,ocean,Ocean,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,tasmin,1.47,2.02,,
-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,tasmin,1.4,,,
-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,tasmin,1.47,1.91,,
-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,tasmin,1.44,1.9,2.91,
-3,ocean,Ocean,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,tasmin,1.41,1.92,2.88,
-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp126,day,gn,tasmin,1.42,,,
-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp245,day,gn,tasmin,1.38,1.87,,
-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp370,day,gn,tasmin,1.45,1.91,,
-3,ocean,Ocean,MIROC6,r1i1p1f1,ssp585,day,gn,tasmin,1.36,1.84,2.8,
-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,tasmin,1.83,,,
-3,ocean,Ocean,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,tasmin,1.86,2.41,,
