# cmip6: regional means at warming levels for individual models - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,Lmon,gn,mrsos,-2.02,,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,Lmon,gn,mrsos,-1.36,-2.8,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,Lmon,gn,mrsos,-1.61,-2.42,-3.35,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,Lmon,gn,mrsos,-1.71,-1.95,-3.5,
-4,global,Global,MIROC6,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.31,,,
-4,global,Global,MIROC6,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.07,-1.69,,
-4,global,Global,MIROC6,r1i1p1f1,ssp370,Lmon,gn,mrsos,-0.77,-1.37,,
-4,global,Global,MIROC6,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.03,-1.62,-2.45,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.2,,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,Lmon,gn,mrsos,-0.65,-1.59,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,Lmon,gn,mrsos,-0.19,-0.72,-1.81,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.18,-0.83,-1.62,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.52,,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,Lmon,gn,mrsos,-0.14,-0.82,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,Lmon,gn,mrsos,0.2,-0.74,-2.36,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.07,-0.96,-1.6,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,Lmon,gn,mrsos,-2.39,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,Lmon,gn,mrsos,-2.03,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.38,-3.18,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.56,-2.45,-4.51,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.83,-2.73,-5.46,-8.18
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.82,-4.84,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp370,Lmon,gn,mrsos,-2.36,-3.86,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp585,Lmon,gn,mrsos,-2.9,-4.56,-7.85,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.22,-3.32,,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,Lmon,gn,mrsos,-0.67,-2.6,-4.13,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.48,-2.32,-4.64,
-4,global,Global,TaiESM1,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.94,-1.1,,
-4,global,Global,TaiESM1,r1i1p1f1,ssp245,Lmon,gn,mrsos,-0.61,-0.78,-1.42,
-4,global,Global,TaiESM1,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.18,-1.07,-1.56,-1.86
-4,global,Global,TaiESM1,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.68,-0.96,-1.55,-1.88
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,Lmon,gn,mrsos,-4.37,-6.35,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,Lmon,gn,mrsos,-4.78,-6.36,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,Lmon,gn,mrsos,-4.31,-6.45,-9.44,-12.69
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,Lmon,gn,mrsos,-4.38,-6.21,-9.66,-12.75
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,Lmon,gn,mrsos,-4.03,-5.77,-9.42,-12.85
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.93,-2.73,,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.6,-2.44,-3.8,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.73,-2.58,-3.88,-5.57
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.94,-2.34,-4.34,-5.67
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-2.08,-2.63,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.39,-1.97,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.78,-2.13,-4.49,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.82,-2.33,-4.3,-6.38
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,Lmon,gn,mrsos,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,Lmon,gn,mrsos,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,Lmon,gn,mrsos,,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,Lmon,gn,mrsos,,,,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.93,-1.56,,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.31,-1.86,-3.18,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.44,-1.54,-2.76,-4.72
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.82,-1.65,-3.39,-5.08
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.89,-1.63,,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.32,-1.66,-2.67,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.23,-1.71,-3.06,-3.99
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.47,-1.82,-2.55,-4.63
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-2.64,-2.71,,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.61,-3.06,-4.21,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-2.54,-3.11,-3.82,-5.22
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-2.32,-2.83,-3.99,-4.95
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,Lmon,gr,mrsos,-1.56,-1.83,,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,Lmon,gr,mrsos,-1.06,-1.88,-2.84,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,Lmon,gr,mrsos,-1.09,-1.8,-1.98,-3.19
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,Lmon,gr,mrsos,-1.13,-1.33,-2.53,-3.74
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,Lmon,gr,mrsos,-1.22,-1.59,,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp245,Lmon,gr,mrsos,-1.19,-1.58,-2.46,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp370,Lmon,gr,mrsos,-1.22,-1.83,-2.24,-3.87
