# cmip6: regional means at warming levels for individual models - CDD
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: CDD
# variable: pr
# units: day
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
80,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,pr,-0.65,-0.93,-1.15,
81,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,pr,-0.03,-0.15,,
82,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,pr,0.19,-0.01,,
83,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,pr,0.12,0.49,0.53,
84,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,pr,-0.29,0.26,0.34,1.08
85,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,pr,-0.09,0.14,0.37,0.93
86,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,pr,1.18,1.29,,
87,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,pr,1.2,1.1,1.42,
88,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,pr,1.4,1.82,1.73,2.4
89,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,pr,1.38,1.28,1.13,1.45
90,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,pr,1.07,,,
91,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,pr,1.26,0.92,,
92,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp585,day,gr1,pr,1.19,1.2,1.94,
93,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,pr,-0.03,,,
94,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,pr,-0.29,0.09,,
95,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,pr,0.13,0.14,-0.07,
96,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,pr,-0.2,-0.02,0.08,
97,-4,global,Global,MIROC6,r1i1p1f1,ssp126,day,gn,pr,0.05,,,
98,-4,global,Global,MIROC6,r1i1p1f1,ssp245,day,gn,pr,-0.03,0.01,,
99,-4,global,Global,MIROC6,r1i1p1f1,ssp370,day,gn,pr,0.04,0.17,,
100,-4,global,Global,MIROC6,r1i1p1f1,ssp585,day,gn,pr,0.21,0.17,0.68,
101,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,pr,1.51,,,
102,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,pr,2.01,2.32,,
103,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,pr,1.82,2.59,4.03,
104,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,pr,1.67,2.67,3.81,
105,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,pr,2.32,,,
106,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,pr,2.61,3.3,,
107,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,pr,2.41,3.5,5.29,
108,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,pr,2.48,3.45,5.05,
109,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,day,gn,pr,1.74,,,
110,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,day,gn,pr,2.0,,,
111,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,day,gn,pr,1.87,2.8,,
112,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,day,gn,pr,2.32,2.45,3.35,
113,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,day,gn,pr,2.24,2.63,3.66,5.29
114,-4,global,Global,NESM3,r1i1p1f1,ssp126,day,gn,pr,2.37,2.29,,
115,-4,global,Global,NESM3,r1i1p1f1,ssp245,day,gn,pr,1.97,2.62,,
116,-4,global,Global,NESM3,r1i1p1f1,ssp585,day,gn,pr,2.18,3.21,4.11,5.23
117,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp245,day,gn,pr,1.07,1.43,,
118,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp370,day,gn,pr,1.82,2.72,,
119,-4,global,Global,NorESM2-LM,r1i1p1f1,ssp585,day,gn,pr,2.24,2.37,2.79,
120,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,day,gn,pr,1.42,1.38,,
121,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,day,gn,pr,1.63,2.34,2.44,
122,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,day,gn,pr,1.73,2.02,2.11,
123,-4,global,Global,TaiESM1,r1i1p1f1,ssp585,day,gn,pr,1.25,1.1,1.28,1.51
124,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,day,gn,pr,0.33,0.2,,
125,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,day,gn,pr,0.87,0.29,,
126,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,day,gn,pr,0.69,0.44,0.67,0.32
127,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,day,gn,pr,0.7,0.89,1.24,1.73
128,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,day,gn,pr,0.47,0.77,0.89,1.1
129,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,1.45,1.06,,
130,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,1.88,1.99,1.96,
131,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,2.17,2.28,2.8,3.45
132,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,1.54,1.71,2.69,3.24
133,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,1.24,0.97,,
134,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,1.44,1.46,,
135,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,1.77,2.13,2.83,
136,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,1.5,1.78,2.59,3.23
137,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,0.23,,,
138,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,0.04,0.47,,
139,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,0.41,0.68,0.92,
140,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,0.27,0.41,0.86,
141,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp126,day,gn,pr,1.64,1.68,,
142,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp245,day,gn,pr,1.86,2.22,2.18,
143,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp370,day,gn,pr,2.18,2.64,2.96,3.56
144,-3,ocean,Ocean,CESM2,r1i1p1f1,ssp585,day,gn,pr,1.67,2.1,2.74,3.3
145,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,1.89,1.94,,
146,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,1.89,2.35,1.85,
147,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,2.32,2.08,2.99,3.58
148,-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,1.73,1.94,3.03,3.74
149,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,1.48,1.02,,
150,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,1.77,1.73,1.59,
151,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,pr,2.05,2.4,2.68,2.85
152,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,pr,1.8,2.11,2.66,2.9
153,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,pr,1.69,2.19,,
154,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,pr,1.94,2.81,3.47,
155,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,pr,2.27,2.93,3.9,5.09
156,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,pr,1.92,2.71,4.28,5.36
157,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,pr,1.19,1.38,,
158,-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,pr,1.19,1.66,2.61,3.57
159,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,pr,1.87,,,
160,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,pr,2.17,,,
161,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,pr,2.25,2.56,2.99,
162,-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,pr,2.11,2.73,3.93,5.34
