# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
93,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.34,1.8,,
94,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.32,1.85,2.75,
95,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.34,1.81,2.79,
96,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gn,tasmax,1.32,,,
97,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.32,,,
98,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.33,1.81,,
99,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.34,1.77,2.74,
100,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.31,1.8,2.8,3.79
101,-4,global,Global,NESM3,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.35,1.82,,
102,-4,global,Global,NESM3,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.34,1.84,,
103,-4,global,Global,NESM3,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.33,1.82,2.87,3.92
104,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.56,2.12,,
105,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.56,2.11,3.13,
106,-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.59,2.12,3.19,
107,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.0,,
108,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.02,,
109,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.02,3.02,4.0
110,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.49,1.99,3.08,4.08
111,-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.54,2.02,3.01,4.1
112,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.23,1.66,,
113,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.25,1.66,2.52,
114,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.24,1.65,2.5,3.39
115,-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.24,1.65,2.51,3.4
116,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.15,1.55,,
117,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.15,1.54,,
118,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.18,1.58,2.42,
119,-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.15,1.57,2.38,3.18
120,-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.17,1.59,,
121,-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.16,1.58,,
122,-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.22,1.59,2.41,
123,-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.2,1.58,2.43,3.28
124,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.16,,,
125,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.14,1.54,,
126,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.15,1.54,2.31,
127,-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.11,1.52,2.29,
128,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.28,1.71,,
129,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.27,1.69,2.56,
130,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.27,1.71,2.54,3.47
131,-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.26,1.71,2.54,3.45
132,-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.25,1.66,,
