# cmip6: multi-model-median regional means at warming levels - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
70,-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
71,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr1,mrsos,,,,
72,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr1,mrsos,,,,
73,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr1,mrsos,,,,
74,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr1,mrsos,,,,
75,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr1,mrsos,,,,
76,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
77,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
78,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
79,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
80,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
81,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
82,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
83,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
84,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
85,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
86,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
87,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
88,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
89,-4,global,Global,MIROC6,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
90,-4,global,Global,MIROC6,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
91,-4,global,Global,MIROC6,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
92,-4,global,Global,MIROC6,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
